RID,datetime,idn,carrier,date,connection,arrival,delay_in_min,name
nn00843740,06-05-22 7:30,597356,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:37,0,Gdańsk Politechnika
hv73089107,06-05-22 7:30,957235,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:37,0,Gdańsk Politechnika
tx2022oooz,06-05-22 7:30,59606,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Gdańsk Śródmieście,7:47,21,Gdańsk Politechnika
us6000i5tm,06-05-22 7:30,95409,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,7:47,0,Gdańsk Politechnika
nc73763276,06-05-22 7:30,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:57,17,Gdańsk Politechnika
ak0229k2f1ad,06-05-22 7:30,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:07,22,Gdańsk Politechnika
ak0229k2et8f,06-05-22 7:30,597234,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:237:00 AM,21,Gdańsk Politechnika
us6000i8ep,06-05-22 7:30,597236,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:40,31,Gdańsk Politechnika
us6000i5tk,06-05-22 7:30,597356,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:335:00 AM,36,Gdańsk Zaspa
nn00843645,06-05-22 7:30,95407,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Główna,7:33,0,Gdańsk Zaspa
av91647356,06-05-22 7:30,59606,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Gdańsk Śródmieście,7:435:00 AM,38,Gdańsk Zaspa
hv73089052,06-05-22 7:30,957235,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:423:00 AM,0,Gdańsk Zaspa
us6000i5tg,06-05-22 7:30,95409,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,7:523:00 AM,41,Gdańsk Zaspa
av91647351,06-05-22 7:30,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:523:00 AM,5,Gdańsk Zaspa
